# TimestampUTC='2026-02-13 09:09:00.999736800';
# ATE=16;
# SamplePeriod_ns=655360;
# ME=11;
# Data1Name='Power';
# PowerLeftShift=15;
# Normalization=1;
# NonNormPowRef=1000;
# TriggerGatingReg=32777;
# DynamicUnderSampling=0;
# CyclicRecording=0;
0,   57327,   5446,   22700,   17731
655360,   57288,   5453,   22693,   17725
1310720,   57345,   5445,   22680,   17745
1966080,   57302,   5444,   22695,   17738
2621440,   57285,   5454,   22699,   17715
3276800,   57333,   5450,   22685,   17734
3932160,   57320,   5454,   22690,   17728
4587520,   57350,   5450,   22692,   17731
5242880,   57355,   5452,   22692,   17725
5898240,   57329,   5456,   22673,   17729
6553600,   57298,   5446,   22685,   17745
7208960,   57260,   5456,   22688,   17721
7864320,   57304,   5443,   22680,   17747
8519680,   57275,   5446,   22678,   17744
9175040,   57296,   5442,   22691,   17748
9830400,   57264,   5440,   22689,   17745
10485760,   57289,   5451,   22677,   17738
11141120,   57305,   5440,   22691,   17752
11796480,   57255,   5446,   22700,   17728
12451840,   57308,   5458,   22677,   17731
13107200,   57266,   5450,   22683,   17736
13762560,   57278,   5454,   22689,   17727
14417920,   57298,   5458,   22677,   17726
15073280,   57283,   5454,   22680,   17732
15728640,   57298,   5452,   22676,   17740
16384000,   57244,   5461,   22678,   17719
17039360,   57280,   5461,   22666,   17731
17694720,   57266,   5454,   22685,   17723
18350080,   57252,   5460,   22698,   17711
19005440,   57309,   5456,   22686,   17725
19660800,   57280,   5459,   22684,   17718
20316160,   57310,   5451,   22690,   17726
20971520,   57259,   5458,   22687,   17721
21626880,   57283,   5452,   22682,   17731
22282240,   57290,   5440,   22696,   17747
22937600,   57284,   5450,   22704,   17725
23592960,   57326,   5453,   22672,   17737
24248320,   57304,   5452,   22691,   17731
24903680,   57333,   5443,   22698,   17743
25559040,   57327,   5440,   22706,   17736
26214400,   57318,   5448,   22699,   17725
26869760,   57342,   5445,   22698,   17736
27525120,   57307,   5444,   22714,   17722
28180480,   57301,   5450,   22685,   17731
28835840,   57276,   5447,   22694,   17733
29491200,   57319,   5446,   22710,   17726
30146560,   57347,   5448,   22692,   17737
30801920,   57323,   5454,   22693,   17724
31457280,   57323,   5443,   22676,   17749
32112640,   57304,   5453,   22704,   17715
32768000,   57299,   5447,   22680,   17740
33423360,   57353,   5446,   22696,   17735
34078720,   57333,   5447,   22702,   17732
34734080,   57328,   5443,   22705,   17733
35389440,   57292,   5443,   22703,   17736
